months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,auto_make,auto_model,auto_year,total_claim_amount
209,38,395983,OH,500,1355.08,FEMALE,MD,other-service,golf,other-relative,19/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,Nissan,Pathfinder,2014,47300
82,27,119513,IL,1000,1384.51,MALE,PhD,adm-clerical,reading,not-in-family,18/02/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,Volkswagen,Jetta,2007,71680
193,41,217938,OH,500,847.03,FEMALE,JD,craft-repair,skydiving,not-in-family,08/02/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,Suburu,Impreza,2011,112320
134,32,203914,OH,1000,1000.06,FEMALE,PhD,farming-fishing,base-jumping,wife,09/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,Audi,A3,2014,82720
288,45,565157,IL,1000,1046.71,MALE,Masters,priv-house-serv,polo,husband,27/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,Mercedes,C300,2009,48060
104,32,904191,IN,500,1158.03,MALE,High School,exec-managerial,kayaking,own-child,08/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,Volkswagen,Jetta,2006,63570
431,54,419510,OH,1000,1372.27,FEMALE,Masters,craft-repair,paintball,own-child,08/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,Suburu,Forrestor,1997,63240
101,33,575000,OH,1000,1053.04,FEMALE,Masters,other-service,reading,own-child,24/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,Saab,93,2013,54240
375,50,120485,OH,1000,1275.39,MALE,Associate,sales,bungie-jumping,other-relative,12/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,Audi,A5,1996,37280
461,61,781181,OH,2000,1402.75,MALE,JD,exec-managerial,exercise,husband,18/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,Jeep,Wrangler,2006,72100
428,59,299796,IN,500,1344.36,FEMALE,JD,prof-specialty,hiking,other-relative,06/02/2015,Parked Car,?,Minor Damage,None,8,1,Saab,92x,2013,6500
45,38,589749,IN,1000,1197.71,MALE,Masters,machine-op-inspct,movies,not-in-family,14/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,Suburu,Legacy,2013,78240
136,29,854021,OH,500,1203.24,FEMALE,JD,transport-moving,video-games,other-relative,05/02/2015,Vehicle Theft,?,Minor Damage,Police,9,1,Honda,Accord,1999,6200
216,36,454086,IN,1000,1152.4,FEMALE,Associate,priv-house-serv,reading,unmarried,25/01/2015,Parked Car,?,Minor Damage,Police,0,1,Mercedes,E400,2014,6160
278,48,139484,IN,2000,1142.62,FEMALE,MD,farming-fishing,dancing,not-in-family,16/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,Chevrolet,Silverado,1997,76050
295,48,678849,OH,1000,1332.07,FEMALE,MD,exec-managerial,polo,unmarried,28/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,Volkswagen,Passat,2002,86060
112,30,346940,OH,1000,1166.54,FEMALE,Masters,prof-specialty,sleeping,not-in-family,21/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,Dodge,Neon,1997,107900
122,34,985436,IL,500,1495.06,FEMALE,Masters,prof-specialty,polo,unmarried,07/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,Mercedes,E400,2011,99990
108,29,237418,IN,1000,1337.92,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,23/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,Suburu,Legacy,2012,61380
14,28,335780,OH,2000,1587.96,FEMALE,Associate,craft-repair,board-games,unmarried,14/02/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,Audi,A5,2012,71280
298,45,491392,IL,1000,1362.29,MALE,High School,farming-fishing,yachting,unmarried,27/02/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,Saab,95,1999,64000
276,46,140880,IL,500,1448.84,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,21/02/2015,Parked Car,?,Trivial Damage,Police,7,1,Toyota,Highlander,2015,5940
47,37,962591,IN,2000,1241.97,MALE,High School,other-service,movies,not-in-family,05/01/2015,Parked Car,?,Minor Damage,None,18,1,Jeep,Wrangler,2011,6700
222,42,922565,IL,500,1124.6,MALE,Associate,armed-forces,hiking,not-in-family,30/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,Jeep,Wrangler,2006,51740
119,28,288580,OH,2000,1079.92,MALE,High School,machine-op-inspct,hiking,husband,26/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,Volkswagen,Jetta,2007,53600
73,29,154280,IL,1000,1447.78,MALE,College,protective-serv,board-games,wife,10/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,Dodge,Neon,2001,44910
8,31,425973,IN,500,1229.16,FEMALE,MD,transport-moving,kayaking,wife,23/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,Volkswagen,Jetta,2014,48100
294,44,477177,IL,1000,1226.49,FEMALE,PhD,farming-fishing,kayaking,unmarried,05/02/2015,Vehicle Theft,?,Trivial Damage,None,3,1,Ford,Fusion,2002,6100
324,46,648509,IN,2000,897.89,MALE,MD,tech-support,board-games,wife,21/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,Jeep,Wrangler,2011,79600
155,34,914815,IN,500,1706.79,MALE,Masters,protective-serv,dancing,other-relative,07/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,Honda,Civic,1998,77040
261,45,249048,IL,1000,1254.18,FEMALE,PhD,prof-specialty,kayaking,other-relative,11/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,Volkswagen,Jetta,2003,62590
245,40,144323,IN,500,885.08,FEMALE,Masters,armed-forces,skydiving,other-relative,06/02/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,Chevrolet,Malibu,1998,85150
235,39,651861,IL,500,1046.58,MALE,MD,tech-support,exercise,wife,24/01/2015,Vehicle Theft,?,Trivial Damage,None,1,1,Chevrolet,Silverado,2010,4950
53,36,125324,OH,2000,1712.68,MALE,Associate,handlers-cleaners,basketball,not-in-family,18/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,Audi,A3,2006,51100
426,54,398102,IL,2000,1097.71,FEMALE,Masters,adm-clerical,reading,not-in-family,12/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,Dodge,Neon,1997,100800
111,27,514065,IN,500,1363.77,FEMALE,Masters,tech-support,exercise,husband,17/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,Accura,RSX,2009,90970
86,26,391652,OH,500,1382.88,MALE,JD,tech-support,cross-fit,other-relative,12/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,Chevrolet,Malibu,2011,81840
296,46,922167,OH,1000,1141.35,MALE,Masters,craft-repair,sleeping,not-in-family,06/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,Mercedes,C300,2013,54900
125,35,442795,OH,500,1054.83,MALE,JD,tech-support,cross-fit,husband,25/02/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,Mercedes,C300,2007,88660
177,34,226330,IL,2000,1057.77,FEMALE,JD,tech-support,bungie-jumping,unmarried,16/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,Audi,A3,2009,18000
238,39,134430,IN,2000,1488.02,FEMALE,JD,protective-serv,exercise,other-relative,25/02/2015,Vehicle Theft,?,Minor Damage,Police,9,1,Chevrolet,Tahoe,2010,5500
81,25,524230,IN,500,920.3,FEMALE,High School,tech-support,hiking,own-child,21/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,Honda,Civic,2003,73920
128,28,438817,OH,1000,986.53,FEMALE,High School,adm-clerical,polo,other-relative,16/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,Honda,CRV,2007,101860
449,57,293794,OH,2000,1440.68,MALE,Associate,tech-support,movies,own-child,09/02/2015,Parked Car,?,Minor Damage,None,8,1,Volkswagen,Passat,2008,5390
252,39,868283,IN,1000,1086.21,MALE,JD,farming-fishing,hiking,unmarried,13/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,Nissan,Maxima,2001,50490
359,47,828890,OH,2000,1367.68,FEMALE,MD,handlers-cleaners,basketball,unmarried,11/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,Mercedes,C300,2012,55500
19,32,882920,OH,1000,1215.85,MALE,High School,other-service,hiking,husband,02/01/2015,Vehicle Theft,?,Minor Damage,Police,8,1,Nissan,Maxima,2015,7040
73,26,918777,IL,2000,1191.19,MALE,MD,farming-fishing,basketball,not-in-family,12/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,Chevrolet,Tahoe,2003,40160
285,44,212580,IL,1000,1594.45,MALE,High School,handlers-cleaners,bungie-jumping,husband,05/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,Saab,95,2006,55680
196,36,602410,IN,2000,1463.07,MALE,MD,armed-forces,skydiving,own-child,24/01/2015,Vehicle Theft,?,Trivial Damage,Police,3,1,Jeep,Grand Cherokee,2001,5300
223,43,976971,OH,500,1734.09,FEMALE,MD,adm-clerical,camping,not-in-family,12/01/2015,Parked Car,?,Trivial Damage,None,6,1,Accura,MDX,2006,5200
328,48,630226,IL,500,1411.43,MALE,Masters,armed-forces,bungie-jumping,own-child,16/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,Honda,Civic,2014,59400
285,43,171254,OH,2000,1512.58,FEMALE,College,sales,paintball,other-relative,13/01/2015,Vehicle Theft,?,Minor Damage,Police,7,1,BMW,3 Series,1997,2520
30,31,247116,IL,2000,1153.35,MALE,PhD,craft-repair,golf,not-in-family,02/02/2015,Vehicle Theft,?,Trivial Damage,Police,9,1,Suburu,Impreza,2011,5760
342,49,505969,OH,500,1722.95,MALE,PhD,transport-moving,base-jumping,not-in-family,28/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,Suburu,Legacy,2006,76700
219,39,653864,IN,2000,1281.07,FEMALE,High School,protective-serv,board-games,unmarried,18/01/2015,Parked Car,?,Trivial Damage,Police,6,1,Chevrolet,Malibu,2015,5920
468,62,586367,IL,500,1011.92,MALE,PhD,machine-op-inspct,paintball,wife,15/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,Chevrolet,Tahoe,2009,64350
241,39,896890,IL,2000,1042.26,MALE,JD,sales,kayaking,husband,31/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,Saab,93,1995,19080
223,43,650026,OH,500,1235.1,FEMALE,Masters,tech-support,exercise,not-in-family,10/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,BMW,M5,2011,54400
128,32,547744,OH,2000,768.91,FEMALE,College,sales,chess,other-relative,26/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,Ford,F150,1999,59800
124,29,598124,OH,500,1301.72,MALE,Masters,handlers-cleaners,golf,husband,25/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,Audi,A3,2005,72000
343,48,436126,IN,500,1451.54,MALE,JD,adm-clerical,hiking,husband,08/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,Mercedes,C300,2003,65070
404,53,739447,IN,500,767.14,MALE,Associate,sales,reading,not-in-family,14/01/2015,Parked Car,?,Trivial Damage,Police,8,1,Suburu,Legacy,2002,8800
63,24,427484,OH,2000,1620.89,FEMALE,High School,handlers-cleaners,movies,other-relative,03/02/2015,Vehicle Theft,?,Minor Damage,Police,7,1,Toyota,Corolla,2015,6120
210,37,218684,IN,2000,1048.46,MALE,High School,priv-house-serv,skydiving,not-in-family,05/01/2015,Vehicle Theft,?,Trivial Damage,None,9,1,Dodge,RAM,1999,7080
335,50,565564,OH,1000,1538.26,MALE,High School,sales,yachting,other-relative,24/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,Volkswagen,Passat,2009,34320
11,40,743163,OH,2000,1217.69,FEMALE,MD,prof-specialty,reading,wife,26/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,Dodge,Neon,2004,53460
142,33,604614,IN,2000,1362.64,FEMALE,JD,exec-managerial,cross-fit,wife,21/01/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,Suburu,Legacy,2009,81360
272,43,509928,OH,1000,1279.13,MALE,PhD,craft-repair,bungie-jumping,other-relative,06/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,Audi,A3,2006,81070
69,26,593390,IL,2000,924.72,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,07/01/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,Audi,A5,2008,63120
38,28,970607,OH,1000,1019.44,MALE,Masters,transport-moving,yachting,not-in-family,10/02/2015,Vehicle Theft,?,Trivial Damage,None,17,1,BMW,X5,2004,7200
328,46,174701,IL,500,1314.6,FEMALE,MD,prof-specialty,exercise,not-in-family,23/02/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,Saab,92x,1998,70290
281,43,529398,OH,1000,1515.18,MALE,College,priv-house-serv,camping,other-relative,09/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,BMW,X6,1999,60190
246,44,940942,OH,2000,1649.18,MALE,College,farming-fishing,base-jumping,other-relative,22/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,Honda,Civic,2009,61380
298,49,442677,OH,500,1451.01,FEMALE,College,other-service,exercise,own-child,21/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,Jeep,Grand Cherokee,2012,28100
330,50,365364,IL,1000,978.46,FEMALE,High School,sales,yachting,husband,04/02/2015,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,Chevrolet,Silverado,1995,49060
362,50,114839,IL,500,1198.34,MALE,Associate,sales,board-games,wife,07/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,Mercedes,E400,1995,57060
241,38,872734,IN,2000,1003.23,FEMALE,Associate,tech-support,kayaking,not-in-family,17/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,Accura,MDX,2008,77880
245,41,267885,IN,2000,1212,MALE,Masters,exec-managerial,basketball,unmarried,28/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,Jeep,Wrangler,1999,73500
371,52,740505,IL,1000,1242.96,FEMALE,High School,other-service,paintball,own-child,22/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,Accura,RSX,2010,88920
343,52,629663,IL,1000,1053.02,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,16/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,Toyota,Corolla,2005,47630
377,53,839884,IL,500,1693.63,FEMALE,MD,craft-repair,kayaking,unmarried,17/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,Saab,93,2015,59040
154,37,241562,IL,1000,2047.59,FEMALE,MD,farming-fishing,dancing,other-relative,09/01/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,Accura,MDX,2000,79530
166,34,405533,OH,1000,1083.72,FEMALE,High School,machine-op-inspct,base-jumping,wife,09/02/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,Honda,CRV,2005,53680
298,46,667021,OH,1000,1138.42,MALE,JD,prof-specialty,dancing,own-child,16/02/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,Volkswagen,Passat,2005,33550
235,42,511621,IN,500,1072.62,FEMALE,Masters,machine-op-inspct,exercise,husband,18/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,Toyota,Highlander,2006,69100
172,35,476923,IL,2000,1219.04,MALE,MD,handlers-cleaners,paintball,own-child,11/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,Nissan,Pathfinder,1999,79750
27,28,735822,IN,2000,1371.78,MALE,JD,farming-fishing,polo,other-relative,04/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,Audi,A5,2015,53600
428,54,492745,IN,2000,1506.21,MALE,Masters,transport-moving,kayaking,unmarried,22/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,Nissan,Ultima,2009,76560
99,32,130930,IN,1000,1058.21,MALE,JD,craft-repair,golf,unmarried,10/01/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,Dodge,RAM,1999,41130
107,26,261119,IL,2000,932.14,MALE,MD,sales,cross-fit,own-child,10/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,Audi,A3,1996,78650
272,41,280709,OH,2000,1608.34,FEMALE,Associate,farming-fishing,reading,own-child,16/02/2015,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,Saab,92x,2010,71060
151,37,898573,IN,1000,1728.56,FEMALE,Masters,farming-fishing,dancing,own-child,08/02/2015,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,Suburu,Legacy,1999,38830
249,43,547802,IL,1000,1518.46,FEMALE,MD,armed-forces,cross-fit,own-child,26/01/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,Saab,92x,2015,53500
177,38,600845,IL,2000,1540.19,FEMALE,College,adm-clerical,skydiving,other-relative,01/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,Chevrolet,Silverado,2001,73700
190,40,390381,OH,2000,965.21,FEMALE,JD,exec-managerial,camping,other-relative,02/02/2015,Parked Car,?,Trivial Damage,None,10,1,Nissan,Ultima,2001,6300
174,36,629918,IL,2000,1278.75,FEMALE,College,tech-support,paintball,own-child,06/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,Dodge,RAM,2012,65400
95,28,208298,OH,1000,773.99,MALE,Associate,armed-forces,board-games,other-relative,01/01/2015,Vehicle Theft,?,Trivial Damage,None,3,1,Mercedes,E400,2014,3200
371,51,513099,IN,1000,1532.47,FEMALE,Associate,tech-support,golf,other-relative,19/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,Dodge,RAM,2012,75400
2,28,184938,IL,1000,1340.56,FEMALE,JD,machine-op-inspct,golf,not-in-family,17/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,Saab,92x,2008,58140
269,44,187775,OH,500,1297.75,FEMALE,JD,other-service,chess,own-child,01/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,Chevrolet,Tahoe,2010,98670
101,27,326322,IL,1000,433.33,MALE,Masters,machine-op-inspct,golf,other-relative,02/01/2015,Parked Car,?,Minor Damage,None,7,1,Mercedes,E400,2009,5900
94,30,146138,IN,2000,1025.54,FEMALE,High School,armed-forces,paintball,other-relative,20/02/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,Chevrolet,Malibu,2001,64100
117,28,336047,OH,500,1264.77,FEMALE,Associate,transport-moving,yachting,unmarried,05/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,Suburu,Forrestor,2009,55440
111,27,532330,OH,500,1459.97,MALE,MD,sales,yachting,other-relative,27/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,Ford,F150,2011,80850
242,40,118137,OH,500,1238.65,FEMALE,High School,transport-moving,bungie-jumping,husband,27/01/2015,Vehicle Theft,?,Trivial Damage,Police,5,1,Saab,95,1998,7480
440,61,212674,OH,500,1050.76,MALE,PhD,transport-moving,movies,wife,26/01/2015,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,Nissan,Maxima,2004,53640
20,23,935596,OH,1000,1711.72,FEMALE,JD,tech-support,base-jumping,wife,13/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,Chevrolet,Tahoe,2002,63250
461,57,737593,IL,500,865.33,FEMALE,High School,farming-fishing,golf,own-child,14/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,Dodge,RAM,1995,59040
208,36,812025,IL,500,1153.49,MALE,Associate,craft-repair,base-jumping,other-relative,22/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,Accura,TL,2004,50500
279,43,168151,OH,2000,1281.25,MALE,Associate,machine-op-inspct,cross-fit,other-relative,17/01/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,Mercedes,C300,2010,57690
244,40,594739,IL,500,1342.8,FEMALE,MD,sales,base-jumping,husband,02/02/2015,Vehicle Theft,?,Trivial Damage,Police,2,1,Toyota,Camry,2014,5940
134,30,843227,OH,2000,1443.32,FEMALE,PhD,exec-managerial,dancing,unmarried,07/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,Suburu,Impreza,1995,47790
122,29,283925,OH,1000,1629.94,FEMALE,Masters,priv-house-serv,skydiving,other-relative,02/02/2015,Parked Car,?,Trivial Damage,None,17,1,Dodge,Neon,2014,3850
156,31,475588,IL,2000,1134.08,MALE,PhD,other-service,reading,husband,07/02/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,Ford,Fusion,2013,59000
232,43,751905,OH,500,1483.91,MALE,College,machine-op-inspct,golf,husband,18/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,Volkswagen,Passat,2013,70600
244,40,226725,IN,2000,1304.67,MALE,Masters,armed-forces,base-jumping,other-relative,10/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,Dodge,RAM,2001,61490
84,30,942504,IL,2000,1035.79,FEMALE,MD,protective-serv,kayaking,wife,30/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,Volkswagen,Passat,2010,57640
394,57,395572,IL,500,1401.2,FEMALE,High School,craft-repair,movies,own-child,25/01/2015,Vehicle Theft,?,Trivial Damage,Police,9,1,Audi,A5,1999,6890
246,45,889883,IL,1000,1665.45,MALE,JD,machine-op-inspct,hiking,wife,29/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,Toyota,Camry,2006,53280
35,29,818167,IN,2000,653.66,FEMALE,JD,handlers-cleaners,video-games,unmarried,24/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,BMW,X5,2009,78300
156,37,277767,OH,500,1080.13,MALE,Associate,protective-serv,reading,other-relative,04/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,Nissan,Pathfinder,2001,41490
195,36,842618,IN,2000,1346.18,FEMALE,Associate,machine-op-inspct,camping,wife,25/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,Chevrolet,Tahoe,2007,68970
369,55,577810,OH,2000,1589.54,MALE,College,handlers-cleaners,camping,husband,27/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,Toyota,Highlander,2003,85300
271,40,873114,IL,1000,1251.65,FEMALE,Associate,other-service,camping,wife,19/02/2015,Parked Car,?,Minor Damage,None,6,1,Audi,A3,2012,3080
332,47,994538,IL,2000,1083.01,MALE,MD,craft-repair,paintball,other-relative,31/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,Jeep,Grand Cherokee,2010,71760
107,26,727792,OH,500,974.59,FEMALE,JD,armed-forces,skydiving,wife,18/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,Nissan,Ultima,2002,59700
217,39,522506,IL,2000,1399.85,FEMALE,Masters,other-service,skydiving,other-relative,10/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,Ford,Fusion,1997,64920
243,43,367595,IN,500,1307.74,FEMALE,Associate,machine-op-inspct,board-games,own-child,28/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,Jeep,Wrangler,2008,37530
296,42,586104,IN,2000,1219.27,MALE,Associate,tech-support,paintball,husband,16/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,Saab,93,2012,64080
264,41,424862,OH,500,1411.3,MALE,PhD,prof-specialty,cross-fit,unmarried,08/02/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,BMW,M5,2004,60390
108,33,512813,IL,2000,694.45,FEMALE,JD,armed-forces,exercise,not-in-family,20/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,Nissan,Pathfinder,2011,64350
32,38,356768,IL,500,1006.77,FEMALE,College,other-service,sleeping,own-child,06/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,BMW,X6,1997,70900
259,39,330506,OH,1000,1422.36,FEMALE,JD,craft-repair,movies,unmarried,24/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,Nissan,Ultima,2012,46560
186,33,779075,IN,1000,1348.32,FEMALE,Associate,craft-repair,cross-fit,wife,14/01/2015,Vehicle Theft,?,Trivial Damage,Police,3,1,Chevrolet,Malibu,2013,4730
201,40,799501,OH,2000,1315.56,FEMALE,PhD,transport-moving,video-games,not-in-family,18/02/2015,Vehicle Theft,?,Minor Damage,Police,14,1,Jeep,Grand Cherokee,2003,6820
436,58,987905,OH,2000,1407.01,MALE,PhD,tech-support,sleeping,other-relative,10/01/2015,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,BMW,X5,1997,59900
189,36,967756,OH,2000,1388.58,FEMALE,MD,priv-house-serv,basketball,own-child,13/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,Ford,Escape,2009,79560
105,33,830414,IL,500,1310.76,FEMALE,High School,adm-clerical,kayaking,not-in-family,17/02/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,Accura,MDX,2008,70290
163,31,127313,IN,1000,1004.63,MALE,JD,priv-house-serv,hiking,not-in-family,07/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,Suburu,Forrestor,1999,63910
219,40,786957,OH,500,1134.91,FEMALE,Associate,transport-moving,golf,not-in-family,29/01/2015,Vehicle Theft,?,Trivial Damage,None,6,1,Toyota,Camry,1997,6400
88,25,332892,IN,1000,1194,FEMALE,JD,handlers-cleaners,movies,husband,13/02/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,Ford,Escape,2013,66780
40,39,448642,IN,1000,1248.25,FEMALE,College,sales,hiking,own-child,01/02/2015,Parked Car,?,Minor Damage,Police,8,1,BMW,3 Series,2013,8760
284,42,526039,OH,500,1338.54,MALE,Associate,machine-op-inspct,kayaking,wife,29/01/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,13,1,Chevrolet,Malibu,1996,94160
59,40,444422,IL,2000,782.23,MALE,College,protective-serv,golf,other-relative,06/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,BMW,X5,2010,51570
39,31,689500,IL,2000,1366.9,FEMALE,High School,handlers-cleaners,polo,husband,28/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,BMW,X6,2014,52700
147,34,806081,IL,1000,1275.81,MALE,High School,sales,dancing,wife,21/01/2015,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,Mercedes,ML350,1998,101010
